FS20,FS21,FS22,Bang,FSGT,FSSP,VacRan,VacSP,DIVA type,DIVA_1 (LSD_FS),"Distinguishes LSD FS from LSDvac, SP, GT, Spvac"
CD4_Epitopes,CD4_Epitopes,CD4_Epitopes,CD4_Epitopes,CD4_Epitopes,CD4_Epitopes,CD4_Epitopes,CD4_Epitopes,,DIVA_2 (LSD_Ran),ID's LSDV Ranchi strain
Query,Query,Query,Query,Query,Query,Query,Query,,DIVA_3,ID's SPPV (FS or Vac)
,,,,,,,,,DIVA_4,ID's GTPV (FS)
7760,7760,7760,7760,7760,7760,,7760,,,
8935,8935,8935,8935,8935,8935,8935,8935,,,
11434,11434,11434,11434,11434,11434,11434,11434,,,
15507,15507,15507,15507,15507,15507,15507,15507,,,
15875,15875,15875,15875,15875,15875,15875,15875,,,
26418,26418,26418,26418,26418,26418,26418,26418,,,
26893,26893,26893,26893,26893,26893,26893,26893,,,
27941,27941,27941,27941,27941,27941,27941,27941,,,
29124,29124,29124,29124,29124,29124,29124,29124,,,
29712,29712,29712,29712,29712,29712,29712,29712,,,
31385,31385,31385,31385,31385,31385,31385,31385,,,
44558,44558,44558,44558,44558,44558,44558,44558,,,
46139,46139,46139,46139,46139,46139,46139,46139,,,
49543,49543,49543,49543,49543,49543,49543,49543,,,
51567,51567,51567,51567,51567,51567,51567,51567,,,
52471,52471,52471,52471,52471,52471,52471,52471,,,
52982,52982,52982,52982,52982,52982,52982,52982,,,
65307,65307,65307,65307,65307,65307,65307,65307,,,
67281,67281,67281,67281,67281,67281,67281,67281,,,
72675,72675,72675,72675,72675,72675,72675,72675,,,
72942,72942,72942,72942,72942,72942,72942,72942,,,
74220,74220,74220,74220,74220,74220,74220,74220,,,
102281,102281,102281,102281,102281,102281,102281,102281,,,
,,,,,140043,,140043,DIVA_3,,
140056,140056,140056,140056,140056,140056,140056,140056,,,
146164,146164,146164,146164,146164,146164,146164,146164,,,
146171,146171,146171,146171,146171,146171,146171,146171,,,
146201,146201,146201,146201,146201,146201,146201,146201,,,
146212,146212,146212,146212,146212,146212,146212,146212,,,
146262,146262,146262,146262,146262,146292,146262,146292,,,
146292,146292,146292,146292,146292,146297,146292,146297,,,
146297,146297,146297,146297,146297,,146297,,,,
146316,146316,146316,146316,146316,146316,146316,146316,,,
146319,146319,146319,146319,146319,146319,146319,146319,,,
146359,146359,146359,146359,146359,146359,146359,146359,,,
146391,146391,146391,146391,146391,146391,146391,146391,,,
146394,146394,146394,146394,146394,146394,146394,146394,,,
146398,146398,146398,146398,146398,146398,146398,146398,,,
,,,,,146441,,146441,DIVA_3,,
146477,146477,146477,146477,146477,146477,146477,146477,,,
146492,146492,146492,146492,146492,146492,146492,146492,,,
146552,146552,146552,146552,146552,146552,146552,146552,,,
146575,146575,146575,146575,146575,146575,146575,146575,,,
146604,146604,146604,146604,146604,146604,146604,146604,,,
146643,146643,146643,146643,146643,146643,146643,146643,,,
180321,180321,180321,180321,180321,180321,180321,180321,,,
180325,180325,180325,180325,180325,180325,180325,180325,,,
180336,180336,180336,180336,180336,180336,180336,180336,,,
180346,180346,180346,180346,180346,180346,180346,180346,,,
186923,186923,186923,186923,186923,186923,186923,186923,,,
190352,190352,190352,190352,190352,190352,190352,190352,,,
238289,238289,238289,238289,839165,839165,839138,839165,,,
839138,839138,839138,839138,,,,,DIVA_1 (LSD_FS),,
839165,839165,839165,839165,,,839165,,,,
839204,839204,839204,839204,839204,839204,839204,839204,,,
839262,839262,839262,839262,839262,839262,839262,839262,,,
839292,839292,839292,839292,839292,839292,839292,839292,,,
839305,839305,839305,839305,839305,839305,839305,839305,,,
839323,839323,839323,839323,839323,839323,839323,839323,,,
839618,839618,839618,839618,839618,839618,839618,839618,,,
839800,839800,839800,839800,839800,839800,839800,839800,,,
840060,840060,840060,840060,840060,840060,840060,840060,,,
840106,840106,840106,840106,840106,840106,840106,840106,,,
840468,840468,840468,840468,840468,840468,840468,840468,,,
840519,840519,840519,840519,840519,840519,840519,840519,,,
874170,874170,874170,874170,874170,874170,874170,874170,,,
874245,874245,874245,874245,874245,874245,874245,874245,,,
874317,874317,874317,874317,874317,874317,874317,874317,,,
874350,874350,874350,874350,874350,874350,874350,874350,,,
874351,874351,874351,874351,874351,874351,874351,874351,,,
874354,874354,874354,874354,874354,874354,874354,874354,,,
874388,874388,874388,874388,874388,874388,874388,874388,,,
874424,874424,874424,874424,874424,874424,874424,874424,,,
874425,874425,874425,874425,874425,874425,874425,874425,,,
,,,,874440,,,,DIVA_4,,
874484,874484,874484,874484,874484,874484,874484,874484,,,
1577562,1577562,1577562,1577562,1577562,1577562,1577562,1577562,,,
1583678,1583678,1583678,1583678,1583678,1583678,1583678,1583678,,,
1586922,1586922,1586922,1586922,1586922,1586922,1586922,1586922,,,
1589832,1589832,1589832,1589832,1589832,1589832,1589832,1589832,,,
1592954,1592954,1592954,1592954,1592954,1592954,1592954,1592954,,,
