CD8_Epitopes,FS20,,,,CD8_Epitopes,FS21,,,,CD8_Epitopes,FS22,,,,CD8_Epitopes,Bang,,,,CD8_Epitopes,FSGT,,,,,CD8_Epitopes,FSSP,,,,CD8_Epitopes,VacRan,,,,CD8_Epitopes,VacSP,,,
Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value
1290,lcl|OR863389.1_prot_WPS90681.1_150,71.43,70,3.70e+00,1290,lcl|OR393175.1_prot_WNV32850.1_150,71.43,70,3.80e+00,1290,lcl|OR393169.1_prot_WNV31956.1_150,71.43,70,3.80e+00,1290,lcl|OP688129.1_prot_UZP80167.1_152,71.43,70,3.80e+00,1290,lcl|MN072620.1_prot_QEJ78851.1_148,1,71.43,70,3.60e+00,1290,lcl|MW167070.1_prot_QQG63028.1_79,70,100,9.40e-01,1290,lcl|OK422494.1_prot_UJQ44375.1_2,71.43,70,8.30e+00,1290,lcl|MT137384.1_prot_QRU95169.1_78,70,100,9.40e-01
2124,lcl|OR863389.1_prot_WPS90632.1_101,87.5,100,1.70e-01,2124,lcl|OR393175.1_prot_WNV32801.1_101,87.5,100,1.70e-01,2124,lcl|OR393169.1_prot_WNV31907.1_101,87.5,100,1.70e-01,2124,lcl|OP688129.1_prot_UZP80117.1_102,87.5,100,1.80e-01,2124,lcl|MN072620.1_prot_QEJ78801.1_98,1,87.5,100,1.70e-01,2124,lcl|MW167070.1_prot_QQG63048.1_99,87.5,100,1.70e-01,2124,lcl|OK422494.1_prot_UJQ44477.1_104,87.5,100,1.60e-01,2124,lcl|MT137384.1_prot_QRU95189.1_98,87.5,100,1.70e-01
2759,lcl|OR863389.1_prot_WPS90613.1_82,88.89,100,4.50e-02,2759,lcl|OR393175.1_prot_WNV32782.1_82,88.89,100,4.50e-02,2759,lcl|OR393169.1_prot_WNV31888.1_82,88.89,100,4.50e-02,2759,lcl|OP688129.1_prot_UZP80098.1_83,88.89,100,4.60e-02,2759,lcl|MN072620.1_prot_QEJ78782.1_79,1,88.89,100,4.50e-02,2759,lcl|MW167070.1_prot_QQG63029.1_80,88.89,100,4.50e-02,2759,lcl|OK422494.1_prot_UJQ44458.1_85,88.89,100,4.20e-02,2759,lcl|MT137384.1_prot_QRU95170.1_79,88.89,100,4.40e-02
4655,lcl|OR863389.1_prot_WPS90677.1_146,75,89,8.40e+00,4655,lcl|OR393175.1_prot_WNV32846.1_146,75,89,8.40e+00,4655,lcl|OR393169.1_prot_WNV31952.1_146,75,89,8.40e+00,4655,lcl|OP688129.1_prot_UZP80163.1_148,75,89,8.50e+00,3151,lcl|MN072620.1_prot_QEJ78725.1_22,1,71.43,78,9.50e+00,5142,lcl|MW167070.1_prot_QQG63093.1_144,71.43,78,8.30e-01,3151,lcl|OK422494.1_prot_UJQ44400.1_27,71.43,78,1.00e+01,5142,lcl|MT137384.1_prot_QRU95234.1_143,71.43,78,8.30e-01
5142,lcl|OR863389.1_prot_WPS90677.1_146,71.43,78,8.20e-01,5142,lcl|OR393175.1_prot_WNV32846.1_146,71.43,78,8.20e-01,5142,lcl|OR393169.1_prot_WNV31952.1_146,71.43,78,8.20e-01,5142,lcl|OP688129.1_prot_UZP80163.1_148,71.43,78,8.40e-01,5142,lcl|MN072620.1_prot_QEJ78847.1_144,1,71.43,78,8.40e-01,5398,lcl|MW167070.1_prot_QQG63045.1_96,90,100,1.40e-01,5142,lcl|OK422494.1_prot_UJQ44520.1_147,71.43,78,2.90e+00,5398,lcl|MT137384.1_prot_QRU95186.1_95,90,100,1.40e-01
5398,lcl|OR863389.1_prot_WPS90629.1_98,90,100,1.40e-01,5398,lcl|OR393175.1_prot_WNV32798.1_98,90,100,1.40e-01,5398,lcl|OR393169.1_prot_WNV31904.1_98,90,100,1.40e-01,5398,lcl|OP688129.1_prot_UZP80114.1_99,90,100,1.40e-01,5398,lcl|MN072620.1_prot_QEJ78798.1_95,1,100,100,3.50e-02,8189,lcl|MW167070.1_prot_QQG63040.1_91,88.89,100,4.00e-03,5398,lcl|OK422494.1_prot_UJQ44474.1_101,90,100,1.30e-01,8189,lcl|MT137384.1_prot_QRU95181.1_90,88.89,100,4.00e-03
8189,lcl|OR863389.1_prot_WPS90624.1_93,88.89,100,4.00e-03,8189,lcl|OR393175.1_prot_WNV32793.1_93,88.89,100,4.00e-03,8189,lcl|OR393169.1_prot_WNV31899.1_93,88.89,100,4.00e-03,8189,lcl|OP688129.1_prot_UZP80109.1_94,88.89,100,4.00e-03,8189,lcl|MN072620.1_prot_QEJ78793.1_90,1,88.89,100,4.00e-03,9354,lcl|MW167070.1_prot_QQG63080.1_131,75,89,3.40e-01,8189,lcl|OK422494.1_prot_UJQ44469.1_96,88.89,100,4.00e-03,9354,lcl|MT137384.1_prot_QRU95221.1_130,75,89,3.40e-01
9354,lcl|OR863389.1_prot_WPS90664.1_133,75,89,3.30e-01,9354,lcl|OR393175.1_prot_WNV32833.1_133,75,89,3.30e-01,9354,lcl|OR393169.1_prot_WNV31939.1_133,75,89,3.30e-01,9354,lcl|OP688129.1_prot_UZP80149.1_134,75,89,3.30e-01,9354,lcl|MN072620.1_prot_QEJ78833.1_130,1,75,89,3.40e-01,9375,lcl|MW167070.1_prot_QQG63043.1_94,90,100,1.40e-02,9121,lcl|OK422494.1_prot_UJQ44393.1_20,71.43,70,9.50e+00,9375,lcl|MT137384.1_prot_QRU95184.1_93,90,100,1.40e-02
9375,lcl|OR863389.1_prot_WPS90627.1_96,90,100,1.30e-02,9375,lcl|OR393175.1_prot_WNV32796.1_96,90,100,1.30e-02,9375,lcl|OR393169.1_prot_WNV31902.1_96,90,100,1.30e-02,9375,lcl|OP688129.1_prot_UZP80112.1_97,90,100,1.40e-02,9375,lcl|MN072620.1_prot_QEJ78796.1_93,1,90,100,1.40e-02,10477,lcl|MW167070.1_prot_QQG63047.1_98,87.5,89,1.70e-01,9354,lcl|OK422494.1_prot_UJQ44508.1_135,75,89,3.00e-01,10477,lcl|MT137384.1_prot_QRU95188.1_97,87.5,89,1.70e-01
10477,lcl|OR863389.1_prot_WPS90631.1_100,87.5,89,1.70e-01,10477,lcl|OR393175.1_prot_WNV32800.1_100,87.5,89,1.70e-01,10477,lcl|OR393169.1_prot_WNV31906.1_100,87.5,89,1.70e-01,10477,lcl|OP688129.1_prot_UZP80116.1_101,87.5,89,1.80e-01,10477,lcl|MN072620.1_prot_QEJ78800.1_97,1,87.5,89,1.70e-01,11693,lcl|MW167070.1_prot_QQG63029.1_80,75,89,3.40e-01,9375,lcl|OK422494.1_prot_UJQ44472.1_99,90,100,1.30e-02,11693,lcl|MT137384.1_prot_QRU95170.1_79,75,89,3.40e-01
